Model,Macro F1,Lie F1,Truth F1
Sender+Power,0.5364000120479974,0.19559228650137742,0.8772077375946173
Sender,0.5427372858253076,0.19607843137254902,0.889396140278066
Receiver+Power,0.5057014332043102,0.1322314049586777,0.8791714614499425
Receiver,0.5066525685082386,0.12991452991452992,0.8833906071019473
